# file...... outputs/battery_output.csv
# date...... Fri May  3 14:00:50 2019
# user...... keegan
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m2_batt_meter:measured_real_power,b1m3_batt_meter:measured_real_power,b1m4_batt_meter:measured_real_power,b2m1_batt_meter:measured_real_power,b2m2_batt_meter:measured_real_power,b2m4_batt_meter:measured_real_power,b3m2_batt_meter:measured_real_power,b3m3_batt_meter:measured_real_power,b3m4_batt_meter:measured_real_power, b1m2_batt:state_of_charge,b1m3_batt:state_of_charge,b1m4_batt:state_of_charge,b2m1_batt:state_of_charge,b2m2_batt:state_of_charge,b2m4_batt:state_of_charge,b3m2_batt:state_of_charge,b3m3_batt:state_of_charge,b3m4_batt:state_of_charge
2013-07-01 08:00:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:01:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:02:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:03:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:04:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:05:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:06:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:07:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:08:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:09:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:10:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:11:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:12:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:13:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:14:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:15:00 PDT,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2,+0.2
2013-07-01 08:16:00 PDT,-133.627327301,-133.627327376,-133.627326506,-133.627327752,-133.627326452,-133.627326481,-133.627327973,-133.627327262,-133.627327287,+0.199870266507,+0.199870266507,+0.199870266508,+0.199870266506,+0.199870266508,+0.199870266508,+0.199870266506,+0.199870266507,+0.199870266507
2013-07-01 08:17:00 PDT,-133.627327235,-133.627327309,-133.627326448,-133.62732768,-133.627326397,-133.627326426,-133.627327899,-133.62732719,-133.627327214,+0.199693357198,+0.199693357198,+0.1996933572,+0.199693357196,+0.199693357201,+0.1996933572,+0.199693357196,+0.199693357198,+0.199693357198
2013-07-01 08:18:00 PDT,-133.627327169,-133.627327242,-133.627326388,-133.627327608,-133.627326341,-133.62732637,-133.627327823,-133.627327116,-133.627327141,+0.199516447889,+0.199516447888,+0.199516447893,+0.199516447887,+0.199516447893,+0.199516447893,+0.199516447885,+0.199516447889,+0.199516447889
2013-07-01 08:19:00 PDT,-133.627327101,-133.627327173,-133.627326327,-133.627327534,-133.627326285,-133.627326313,-133.627327746,-133.627327042,-133.627327066,+0.19933953858,+0.199339538579,+0.199339538585,+0.199339538577,+0.199339538586,+0.199339538586,+0.199339538575,+0.19933953858,+0.19933953858
2013-07-01 08:20:00 PDT,-133.627327033,-133.627327104,-133.627326266,-133.627327459,-133.627326228,-133.627326255,-133.627327668,-133.627326966,-133.627326989,+0.199162629271,+0.19916262927,+0.199162629278,+0.199162629267,+0.199162629278,+0.199162629278,+0.199162629265,+0.199162629271,+0.199162629271
2013-07-01 08:21:00 PDT,-133.627326963,-133.627327033,-133.627326203,-133.627327383,-133.62732617,-133.627326197,-133.627327589,-133.627326889,-133.627326912,+0.198985719962,+0.198985719961,+0.19898571997,+0.198985719957,+0.198985719971,+0.198985719971,+0.198985719955,+0.198985719962,+0.198985719962
2013-07-01 08:22:00 PDT,-133.627326892,-133.627326961,-133.62732614,-133.627327306,-133.627326111,-133.627326138,-133.627327509,-133.627326811,-133.627326833,+0.198808810653,+0.198808810652,+0.198808810663,+0.198808810647,+0.198808810664,+0.198808810663,+0.198808810645,+0.198808810653,+0.198808810653
2013-07-01 08:23:00 PDT,-133.627326821,-133.627326889,-133.627326075,-133.627327228,-133.627326051,-133.627326077,-133.627327428,-133.627326731,-133.627326753,+0.198631901344,+0.198631901343,+0.198631901355,+0.198631901338,+0.198631901356,+0.198631901356,+0.198631901335,+0.198631901344,+0.198631901344
